Categoria,Localidad,Colonia,Precio
VENTA CASAS,ALVARO OBREGÓN,FLORIDA,"$20,900,000  "
VENTA CASAS,TLALPAN,FUENTES DE TEPEPAN,"$4,150,000  "
VENTA CASAS,TLALPAN,FUENTES DEL PEDREGAL,"$18,300,000  "
VENTA CASAS,ALVARO OBREGÓN,GUADALUPE INN,"$15,950,000  "
VENTA CASAS,TLALPAN,HEROES DE PADIERNA,"$6,290,000  "
VENTA CASAS,TLALPAN,HEROES DE PADIERNA,"$3,300,000  "
VENTA CASAS,LA MAGDALENA CONTRERAS,HEROES DE PADIERNA,"$4,700,000  "
VENTA CASAS,TLALPAN,HEROES DE PADIERNA,"$3,990,000  "
VENTA CASAS,CUAUHTÉMOC,HIPODROMO CONDESA,"$20,000,000  "
VENTA CASAS,CUAUHTÉMOC,HIPODROMO CONDESA,"$20,000,000  "
VENTA CASAS,XOCHIMILCO,HUICHAPAN,"$6,600,000  "
VENTA CASAS,COYOACÁN,INSURGENTES CUICUILCO,"$14,900,000  "
VENTA CASAS,IZTAPALAPA,IZTAPALAPA,"$3,900,000  "
VENTA CASAS,IZTAPALAPA,JARDINES DE CHURUBUSCO,"$4,200,000  "
VENTA CASAS,TLALPAN,JARDINES DEL AJUSCO,"$8,950,000  "
VENTA CASAS,TLALPAN,JARDINES DEL AJUSCO,"$5,990,000  "
VENTA CASAS,TLALPAN,JARDINES DEL AJUSCO,"$10,500,000  "
VENTA CASAS,TLALPAN,JARDINES DEL AJUSCO,"$8,995,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$42,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$39,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$1,100,000 dls  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$42,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$34,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$22,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$48,997,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$48,997,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$28,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$29,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$38,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$35,900,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$26,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$25,900,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$40,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$990,000 dls  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$21,990,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$32,900,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$3,000,000 dls  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$30,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$20,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$29,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$19,950,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$33,800,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$25,350,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$1,450,000 dls  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$24,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$30,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$50,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$21,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$4,500,000 dls  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$19,500,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$74,800,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$14,900,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$52,000,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$8,990,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$18,570,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$12,440,000  "
VENTA CASAS,ALVARO OBREGÓN,JARDINES DEL PEDREGAL,"$24,000,000  "
VENTA CASAS,CUAUHTÉMOC,ALGARIN,"$1,800,000  "
VENTA CASAS,ALVARO OBREGÓN,ALPES,"$13,180,000  "
VENTA CASAS,ALVARO OBREGÓN,AMPLIACION AGUILAS,"$7,000,000  "
